Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7wgZCec9TpT6OPH8gKK0fG,ROCKET,Doechii,57,2024,New Releases,0.622,0.78,1,-6.441,1,0.341,0.0702,0.00233,0.331,0.755,113.184,4
2PyXqwD49Q9Xnu3IsDPQPl,Skyfire,Shogun,30,2011,New Releases,0.584,0.914,1,-4.601,0,0.239,0.0573,0.0818,0.243,0.0674,132.024,4
03bOA3BAjZiqJOGyFmWYFz,Friday,The Chainsmokers,63,2024,New Releases,0.657,0.832,1,-6.006,1,0.0408,0.0586,0.0,0.0824,0.365,103.029,4
0VnlSP1ViYmd2ZKaAPlt5V,new year theme 2,corn wave,14,2019,New Releases,0.155,0.933,6,-5.582,1,0.174,0.231,0.912,0.326,0.271,175.217,4
3qCCQas6tIP15Yjgu3gl9S,All My Life,Tiësto,71,2024,New Releases,0.613,0.963,7,-4.302,1,0.0585,0.00686,0.0176,0.235,0.0795,137.961,4
3YHOAWTC3Pok20zPLWlFJG,Lost For Words - Radio Edit,Giuseppe Ottaviani,25,2012,New Releases,0.492,0.813,11,-9.293,0,0.0308,0.000191,0.0414,0.358,0.163,129.97,4
24DMpa4roYV1VkykwCSNMG,Panoramic View,AWOLNATION,55,2024,New Releases,0.576,0.553,8,-7.878,1,0.032,0.701,0.761,0.121,0.297,130.023,4
19eoRTRf0l8vDK7ROCfGko,Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob's Farewell,James Newton Howard,10,2016,New Releases,0.117,0.0799,5,-18.385,1,0.0378,0.914,0.902,0.0988,0.0341,85.353,4
1lZkGr8MRb1tTsSbpV7zO5,Anxiety,G-Eazy,59,2024,New Releases,0.694,0.714,7,-5.886,1,0.0497,0.000568,7.64e-05,0.692,0.407,132.032,4
6EsVEPkRiIkcFsELZ0239q,ดีอย่างไร,T Jetset’er,28,2009,New Releases,0.688,0.524,1,-10.333,1,0.0275,0.568,0.0,0.174,0.752,102.024,4
